email_id,rebound_flag,id_client,id_campaign_model
13RYPAYA,False,0IKIX2DX,XJ296CTW
H9YKXR6E,False,0IKIX2DX,XJ296CTW
BM9M4L4Q,False,0IKIX2DX,XJ296CTW
S6WXJ9CG,False,0IKIX2DX,XJ296CTW
O5G69U1Y,False,N3JKI7ZJ,XJ296CTW
W95FZ1XR,False,N3JKI7ZJ,XJ296CTW
B8OPTIWY,False,N3JKI7ZJ,XJ296CTW
6SVJVB2P,False,N3JKI7ZJ,XJ296CTW
QVS4EGGO,True,ET1R7EHP,XJ296CTW
T3H2255E,False,1IYKWE3W,X1KSB5MB
6M95EPQT,False,1IYKWE3W,X1KSB5MB
ARUXNJTL,False,1IYKWE3W,X1KSB5MB
5THAHKDC,False,1IYKWE3W,X1KSB5MB
DHB13JZ1,False,IFYAPX5H,X1KSB5MB
4VP3BHXM,False,IFYAPX5H,X1KSB5MB
G1A25UBJ,False,IFYAPX5H,X1KSB5MB
XK9SAAFA,False,IFYAPX5H,X1KSB5MB
YOYTB1BB,True,7PR35B2L,X1KSB5MB
JK0IZLTO,False,M7QDYC2S,X1KSB5MB
P5KRAF3H,False,M7QDYC2S,X1KSB5MB
K2ZSB6DX,False,M7QDYC2S,X1KSB5MB
0678DZOP,False,M7QDYC2S,X1KSB5MB
6H1OAD8S,False,NQ0NMDC0,XJ296CTW
L0GTTI5N,False,NQ0NMDC0,XJ296CTW
PCIMIBRB,False,NQ0NMDC0,XJ296CTW
A53N7J3G,False,NQ0NMDC0,XJ296CTW
RAKQIAU2,True,KZJW5NBM,X1KSB5MB
48136UGS,True,7GCKKE54,X1KSB5MB
ZL6O7LGD,True,TXWWWIM3,XJ296CTW
M65ABM6Z,False,M6JXRGQ8,XJ296CTW
KTQ65WZK,False,M6JXRGQ8,XJ296CTW
UJ2ENI0E,False,M6JXRGQ8,XJ296CTW
8N9BL1TP,False,M6JXRGQ8,XJ296CTW
EZ4TKCGW,False,WJPIOZ1E,XJ296CTW
MR0X3LP8,False,WJPIOZ1E,XJ296CTW
5KR122PF,False,WJPIOZ1E,XJ296CTW
G83X7H0T,False,WJPIOZ1E,XJ296CTW
5BWRN8U0,False,8ZUPCE0B,XJ296CTW
A97GI9TA,False,8ZUPCE0B,XJ296CTW
