sPerson,product_name,probabilidad_compra,lead_scoring,tiene_producto,product_category,list_driver_names_x,list_driver_values_x,list_barrier_names_x,list_barrier_values_x,_base_values_x,product_name,ResultHistoricoCampañas,Ingresos,ComercialAsignado,IdSex,YearsSinceCampaign,Edad,UltimoContacto,_base_values_y,positive_impact_factors,negative_impact_factors
10129,Salud,0.0024140244193851202,Low,0.0,Mutua,['YearsSinceCampaign'],[0.00019110252324817755],"['UltimoContacto', 'Edad', 'IdSex', 'Ingresos', 'ResultHistoricoCampañas']","[-0.02299556543856176, -0.011214798730281186, -0.0007637020340492048, -0.00011281006002426743, -9.351593111259481e-05]",0.0686508495464269,Salud,,,1.0,1,,63,48.0,0.1257867645753929,,"UltimoContacto -2% (48.0), Edad -1% (63)"
10159,Salud,0.0021767409425549468,Low,0.0,Mutua,"['Edad', 'YearsSinceCampaign', 'ResultHistoricoCampañas']","[0.03783170945946467, 0.003154852469174032, 0.0011260765778248623]","['UltimoContacto', 'IdSex', 'Ingresos']","[-0.024544918936754825, -0.004409661846165319, -0.002792965688668396]",0.0686508495464269,Salud,,,1.0,0,,54,36.0,0.1257867645753929,"UltimoContacto 7% (36.0), Edad 5% (54), YearsSinceCampaign 1% (<NA>)",
10200,Salud,0.0035970809770171034,Low,0.0,Mutua,['ResultHistoricoCampañas'],[5.637400012314558e-05],"['Edad', 'UltimoContacto', 'YearsSinceCampaign', 'Ingresos', 'IdSex']","[-0.02472736422532288, -0.009095682906052702, -0.0013648280137434216, -0.00028693372611664393, -5.932647604656094e-05]",0.0686508495464269,Salud,No Interessa,,1.0,0,0,100,52.0,0.1257867645753929,IdSex 1% (0),"Edad -12% (100), ResultHistoricoCRM -2% (No Interessa), YearsSinceCampaign -1% (0)"
10209,Salud,0.002218573720966805,Low,0.0,Mutua,"['Edad', 'Ingresos', 'YearsSinceCampaign', 'ResultHistoricoCampañas']","[0.0023590131424692713, 0.00020865157220579557, 0.00014503794425306226, 5.697077209017992e-05]","['UltimoContacto', 'IdSex']","[-0.00058750687244291, -0.0001939876949728184]",0.0686508495464269,Salud,,,1.0,0,,43,25.0,0.1257867645753929,"UltimoContacto 1% (25.0), Edad 1% (43)",
10214,Salud,0.0024239059471369245,Low,0.0,Mutua,"['Ingresos', 'YearsSinceCampaign', 'ResultHistoricoCampañas']","[0.00016388734954890033, 0.0001403049982267256, 3.873986966618547e-05]","['Edad', 'UltimoContacto', 'IdSex']","[-0.04353973197256363, -0.016049275958961735, -6.0450556127069735e-05]",0.0686508495464269,Salud,,,1.0,0,,97,52.0,0.1257867645753929,"UltimoContacto 3% (52.0), IdSex 2% (0), YearsSinceCampaign 1% (<NA>)",Edad -24% (97)
10228,Salud,0.06215594428208,Low,0.0,Mutua,"['UltimoContacto', 'Ingresos', 'IdSex', 'ResultHistoricoCampañas', 'YearsSinceCampaign']","[0.002061828180766396, 0.0006377564810431327, 9.309629859353499e-05, 4.074243163017058e-05, 3.96262330147924e-05]",['Edad'],[-0.032194879765579346],0.0686508495464269,Salud,,,1.0,0,,103,,0.1257867645753929,"IdSex 1% (0), YearsSinceCampaign 1% (<NA>)","Edad -17% (103), UltimoContacto -3% ()"
10274,Salud,0.0027317961912329187,Low,0.0,Mutua,"['Ingresos', 'YearsSinceCampaign', 'ResultHistoricoCampañas']","[0.00014832504826896336, 9.402873708029658e-05, 2.987952630781984e-05]","['Edad', 'UltimoContacto', 'IdSex']","[-0.029884651255422258, -0.009614919402724416, -3.108320540245973e-05]",0.0686508495464269,Salud,,,1.0,0,,100,52.0,0.1257867645753929,IdSex 1% (0),"Edad -12% (100), UltimoContacto -2% (52.0)"
10315,Salud,0.0018393215965439825,Low,0.0,Mutua,"['Ingresos', 'YearsSinceCampaign', 'ResultHistoricoCampañas', 'IdSex']","[0.0013951370537735278, 9.666549671967804e-05, 3.0197908644833816e-05, 1.0450323942922735e-05]","['Edad', 'UltimoContacto']","[-0.030420963398443832, -0.008983591545070354]",0.0686508495464269,Salud,,50.001_100.000,1.0,0,,95,52.0,0.1257867645753929,IdSex 2% (0),"Edad -16% (95), UltimoContacto -4% (52.0), Ingresos -1% (50.001_100.000)"
10316,Salud,0.0017583321392648018,Low,0.0,Mutua,"['UltimoContacto', 'Ingresos', 'YearsSinceCampaign', 'ResultHistoricoCampañas']","[0.0026722361797024276, 0.0013409498248901199, 0.0005754617980532292, 4.059300092512202e-05]","['Edad', 'IdSex']","[-0.06229046495395529, -0.00019640474589200694]",0.0686508495464269,Salud,,,1.0,1,,90,39.0,0.1257867645753929,,"Edad -11% (90), IdSex -1% (1)"
10320,Salud,0.0017982604166413704,Low,0.0,Mutua,['Ingresos'],[0.0010723560402520684],"['Edad', 'YearsSinceCampaign', 'UltimoContacto', 'IdSex', 'ResultHistoricoCampañas']","[-0.0440671761745199, -0.003874965373627312, -0.0032868146027087903, -0.0012609743272192254, -0.00047714112861877757]",0.0686508495464269,Salud,Resolt,,1.0,1,0,92,39.0,0.1257867645753929,UltimoContacto 1% (39.0),"Edad -14% (92), IdSex -2% (1), ResultHistoricoCRM -1% (Resolt)"
10323,Salud,0.0024149472890221966,Low,0.0,Mutua,[],[],"['Edad', 'UltimoContacto', 'YearsSinceCampaign', 'IdSex', 'Ingresos', 'ResultHistoricoCampañas']","[-0.03817574415358518, -0.013462683216492088, -0.0012424600179174183, -0.0004817415630704717, -0.00044990418209989245, -0.00014813741191516236]",0.0686508495464269,Salud,Derivada,,1.0,1,1,95,52.0,0.1257867645753929,,"Edad -4% (95), YearsSinceCampaign -1% (1), ResultHistoricoCRM -1% (Derivada)"
10414,Salud,0.0020367616550092927,Low,0.0,Mutua,"['Ingresos', 'YearsSinceCampaign', 'ResultHistoricoCampañas']","[0.0005758426246800102, 0.00016317274682349652, 4.074229731167599e-05]","['Edad', 'UltimoContacto', 'IdSex']","[-0.04947332975971728, -0.015952616283662617, -8.354186827260268e-06]",0.0686508495464269,Salud,,,1.0,0,,94,52.0,0.1257867645753929,IdSex 1% (0),"Edad -14% (94), UltimoContacto -1% (52.0)"
10415,Salud,0.002148681234688369,Low,0.0,Mutua,"['Ingresos', 'YearsSinceCampaign']","[0.0004164639403108753, 1.0892877132874035e-06]","['Edad', 'UltimoContacto', 'IdSex', 'ResultHistoricoCampañas']","[-0.024739037177100118, -0.00330150287614217, -0.0016412453851388862, -6.728142214712584e-06]",0.0686508495464269,Salud,,,1.0,1,,86,29.0,0.1257867645753929,UltimoContacto 1% (29.0),"Edad -3% (86), IdSex -1% (1)"
10481,Salud,0.002201189733193433,Low,0.0,Mutua,"['Ingresos', 'YearsSinceCampaign', 'ResultHistoricoCampañas']","[0.000967875298461581, 0.0001936195287228006, 3.16211682321219e-05]","['Edad', 'UltimoContacto', 'IdSex']","[-0.06068917565194783, -0.0025687656667612276, -0.00016158411741812686]",0.0686508495464269,Salud,,,1.0,0,,91,26.0,0.1257867645753929,,Edad -4% (91)
10492,Salud,0.002028058241739706,Low,0.0,Mutua,"['Ingresos', 'YearsSinceCampaign', 'ResultHistoricoCampañas']","[0.0008311132111896839, 0.0001551669448830611, 3.710210474855334e-05]","['Edad', 'UltimoContacto', 'IdSex']","[-0.045430388576423085, -0.015566338677717874, -8.521374504352991e-05]",0.0686508495464269,Salud,,,1.0,0,,94,52.0,0.1257867645753929,IdSex 1% (0),"Edad -8% (94), UltimoContacto -2% (52.0)"
10496,Salud,0.0018287825517716379,Low,0.0,Mutua,['Ingresos'],[0.00010689780420472982],"['Edad', 'UltimoContacto', 'ResultHistoricoCampañas', 'YearsSinceCampaign', 'IdSex']","[-0.04490184095066642, -0.010841673304595345, -0.0027504710186544317, -0.0011616773644129567, -9.275749975307473e-05]",0.0686508495464269,Salud,Il·localitzable,,1.0,0,0,90,52.0,0.1257867645753929,,"Edad -5% (90), ResultHistoricoCRM -1% (Il·localitzable)"
10499,Salud,0.0024434081139113138,Low,0.0,Mutua,['Ingresos'],[0.0007516395012451496],"['Edad', 'UltimoContacto', 'YearsSinceCampaign', 'ResultHistoricoCampañas', 'IdSex']","[-0.04206643642606361, -0.016770950610695192, -0.0013896836194880677, -0.0005172051450371816, -2.8658277881631167e-05]",0.0686508495464269,Salud,Resolt,,1.0,0,0,90,52.0,0.1257867645753929,IdSex 1% (0),"Edad -19% (90), YearsSinceCampaign -1% (0), ResultHistoricoCRM -1% (Resolt)"
10508,Salud,0.0018675251970347252,Low,0.0,Mutua,['Ingresos'],[0.0008414844478497813],"['Edad', 'UltimoContacto', 'YearsSinceCampaign', 'ResultHistoricoCampañas', 'IdSex']","[-0.04711467917605385, -0.014995483497397348, -0.0018001505366526463, -0.0004259463287047388, -9.101560082523332e-05]",0.0686508495464269,Salud,Resolt,20.001_50.000,1.0,0,0,89,52.0,0.1257867645753929,IdSex 1% (0),"Edad -14% (89), ResultHistoricoCRM -1% (Resolt)"
