id,id_client,id_campaign_model,rebound_flag,delivery_date,open_flag,click_number,answer_flag
06227BTI,PBRNHISN,9ELDPIFW,True,01/24/2024,,,
Z3R23XGH,N71FNS5F,9ELDPIFW,True,01/24/2024,,,
F4SVKDVE,V8GV5IRH,9ELDPIFW,False,01/24/2024,True,1.0,False
3CW7A2FX,V8GV5IRH,9ELDPIFW,False,02/01/2024,False,,False
JYQ82BOK,V8GV5IRH,9ELDPIFW,False,02/03/2024,True,1.0,False
06APTUQ0,V8GV5IRH,9ELDPIFW,False,02/07/2024,False,,False
HBRSV9IX,DL0VWR1O,BKJE7BTS,True,01/24/2024,,,
3DDVL3H5,TOQQP3JF,9ELDPIFW,False,01/24/2024,True,2.0,False
3JGE2627,TOQQP3JF,9ELDPIFW,False,02/01/2024,False,,False
AQK0BB2W,TOQQP3JF,9ELDPIFW,False,02/03/2024,True,0.0,False
B07WG9F7,TOQQP3JF,9ELDPIFW,False,02/07/2024,True,3.0,True
TVVG7VYY,A3P79X53,9ELDPIFW,False,01/24/2024,True,3.0,False
4FBKANB6,A3P79X53,9ELDPIFW,False,02/01/2024,False,,False
81SM1G9N,A3P79X53,9ELDPIFW,False,02/03/2024,False,,False
QW0DURUQ,A3P79X53,9ELDPIFW,False,02/07/2024,False,,False
WZCXRSD7,VO7NONHO,BKJE7BTS,False,01/24/2024,True,1.0,False
ALB3TVS4,VO7NONHO,BKJE7BTS,False,01/26/2024,False,,False
EN4MY4PK,VO7NONHO,BKJE7BTS,False,01/31/2024,False,,False
OLPL07V9,VO7NONHO,BKJE7BTS,False,02/07/2024,False,,False
1GKP2BNH,R3NWQPI6,BKJE7BTS,False,01/24/2024,False,,False
AHGUHL71,R3NWQPI6,BKJE7BTS,False,01/26/2024,False,,False
UA80TVWJ,R3NWQPI6,BKJE7BTS,False,01/31/2024,False,,False
48PIN6BT,R3NWQPI6,BKJE7BTS,False,02/07/2024,True,3.0,False
AI24ILEU,C1YJIFU7,BKJE7BTS,False,01/24/2024,False,,False
4AUWCCMG,C1YJIFU7,BKJE7BTS,False,01/26/2024,True,2.0,False
UZY7HHLC,C1YJIFU7,BKJE7BTS,False,01/31/2024,True,0.0,False
VNU1P2GG,C1YJIFU7,BKJE7BTS,False,02/07/2024,True,0.0,True
PR0HN1R6,2JB5UWGC,BKJE7BTS,False,01/24/2024,False,,False
UZA0Z6DP,2JB5UWGC,BKJE7BTS,False,01/26/2024,True,2.0,False
2J8QZ195,2JB5UWGC,BKJE7BTS,False,01/31/2024,False,,False
FQ54NQXC,2JB5UWGC,BKJE7BTS,False,02/07/2024,False,,False
DWN5DAQI,G30367VJ,BKJE7BTS,False,01/24/2024,True,0.0,False
2OMWF1TP,G30367VJ,BKJE7BTS,False,01/26/2024,False,,False
99378UDV,G30367VJ,BKJE7BTS,False,01/31/2024,False,,False
XAYWAIPL,G30367VJ,BKJE7BTS,False,02/07/2024,True,2.0,False
2XACDYLH,WTP3GFFP,BKJE7BTS,True,01/24/2024,,,
J02OLG53,5P4X6VOT,9ELDPIFW,False,01/24/2024,False,,False
15ZHVMIQ,5P4X6VOT,9ELDPIFW,False,02/01/2024,False,,False
WH0F1HBB,5P4X6VOT,9ELDPIFW,False,02/03/2024,False,,False
POF7IYGD,5P4X6VOT,9ELDPIFW,False,02/07/2024,False,,False
6Z9CJ5AV,7U6TXUQY,BKJE7BTS,True,01/24/2024,,,
Z0QE9UZJ,NKC3BGJX,BKJE7BTS,False,01/24/2024,True,1.0,True
E4BIN04N,NKC3BGJX,BKJE7BTS,False,01/26/2024,True,0.0,False
T94XBW4M,NKC3BGJX,BKJE7BTS,False,01/31/2024,True,3.0,False
NM20D9C1,NKC3BGJX,BKJE7BTS,False,02/07/2024,False,,False
C8E0Z2HF,95ETZ32I,BKJE7BTS,False,01/24/2024,True,2.0,False
919AQ9IY,95ETZ32I,BKJE7BTS,False,01/26/2024,True,3.0,False
PA5M3WTP,95ETZ32I,BKJE7BTS,False,01/31/2024,False,,False
E4Q4T5S0,95ETZ32I,BKJE7BTS,False,02/07/2024,False,,False
3JOU6OD2,AOCS2BON,BKJE7BTS,False,01/24/2024,True,2.0,False
UMXUC3D6,AOCS2BON,BKJE7BTS,False,01/26/2024,True,0.0,False
RYFD1BVW,AOCS2BON,BKJE7BTS,False,01/31/2024,False,,False
