column_target,class,Customer,list_driver_names,list_driver_values,list_barrier_names,list_barrier_values,_base_values
Coverage,Basic,KW56110,"['Vehicle Class', 'Number of Policies', 'Location Code', 'Income', 'Gender', 'Months Since Last Claim', 'Marital Status', 'Months Since Policy Inception', 'Sales Channel', 'State', 'Number of Open Complaints']","[0.6415649963256361, 0.005009228742690675, 0.004744332660979098, 0.0031680129909990424, 0.0008757801299390215, 0.0007165850432779604, 0.00014600094216731725, 4.4995937369483905e-05, 1.5085232566989145e-05, 2.819449974317795e-06, 1.5950814316167267e-06]","['Monthly Premium Auto', 'Customer Lifetime Value', 'Total Claim Amount', 'Vehicle Size', 'EmploymentStatus', 'Education', 'Policy Type']","[-0.18161308523559308, -0.03549610003850238, -0.023930896033467337, -0.0002534484669077159, -8.666068522749149e-05, -3.062519098601113e-05, -2.5353810636493646e-06]",0.5799037102047887
Coverage,Basic,UX92071,"['Vehicle Class', 'Income', 'Location Code', 'Marital Status', 'Months Since Last Claim', 'Sales Channel', 'Education', 'Gender', 'Number of Open Complaints', 'State']","[0.610410942992962, 0.0020091895125097085, 0.0016301317491735454, 0.0007870407113185023, 0.00025607216994263184, 0.00015901456875517736, 0.00012387455990547683, 8.185034474847419e-06, 4.029144936255428e-07, 2.2471653176222203e-07]","['Monthly Premium Auto', 'Customer Lifetime Value', 'Total Claim Amount', 'Number of Policies', 'EmploymentStatus', 'Months Since Policy Inception', 'Vehicle Size', 'Policy Type']","[-0.16766524755749887, -0.012498550494827503, -0.011318279953466409, -0.005698795294740581, -0.00028762971746279395, -0.00015232175751629141, -0.00010823093952397045, -6.037113804603875e-07]",0.5799037102047887
Coverage,Basic,LO84523,"['Vehicle Class', 'Location Code', 'Income', 'Gender', 'Months Since Last Claim', 'Marital Status', 'Education', 'Months Since Policy Inception', 'State', 'Sales Channel', 'Number of Open Complaints']","[0.6742821012618645, 0.0011400160743119138, 0.000630817922946132, 0.0006101652409855515, 0.0003030192159094285, 0.00015579230907445361, 7.678115170880381e-05, 5.9718586640574355e-05, 3.235690469114103e-05, 9.758072105199751e-06, 1.322331930770267e-06]","['Monthly Premium Auto', 'Customer Lifetime Value', 'Total Claim Amount', 'Number of Policies', 'EmploymentStatus', 'Vehicle Size', 'Policy Type']","[-0.2036866447243911, -0.02058496379190455, -0.020556806414008266, -0.017028756774493062, -0.0002205223925851085, -0.00018523681096047073, -1.4046759049928432e-06]",0.5799037102047887
Coverage,Basic,YC54142,"['Vehicle Class', 'Number of Policies', 'Location Code', 'Months Since Last Claim', 'Income', 'Gender', 'Education', 'Marital Status', 'Sales Channel', 'Number of Open Complaints', 'State']","[0.04619290195578863, 0.0004101480186833697, 8.765488141297437e-05, 4.851903626880644e-05, 3.7052177047852965e-05, 9.171339021236537e-06, 4.199409178947055e-06, 2.1450146983862893e-06, 1.7135584298422907e-06, 5.534829053095343e-07, 3.700194885492003e-07]","['Monthly Premium Auto', 'Customer Lifetime Value', 'Total Claim Amount', 'EmploymentStatus', 'Months Since Policy Inception', 'Policy Type', 'Vehicle Size']","[-0.6249468611483218, -0.0007831173490213199, -0.000688840526674163, -1.722393826051677e-05, -6.4653279370263095e-06, -2.2998646867093895e-06, -5.19529478640672e-07]",0.5799037102047887
Coverage,Basic,GP99578,"['Vehicle Class', 'Location Code', 'Income', 'Months Since Last Claim', 'Marital Status', 'Sales Channel', 'Months Since Policy Inception', 'Education', 'Number of Open Complaints']","[0.7462512042655092, 0.0032695626613217363, 0.002060545079369376, 0.0005135146419968269, 0.00044729154426391876, 0.00029558729422266645, 0.0002278970632451424, 0.00016199290086374324, 4.3729402160579595e-07]","['Monthly Premium Auto', 'Total Claim Amount', 'Customer Lifetime Value', 'Number of Policies', 'Vehicle Size', 'EmploymentStatus', 'Gender', 'State', 'Policy Type']","[-0.2825739920189234, -0.029993822263235142, -0.015252152587795755, -0.0099018583172048, -0.00024159981525439267, -0.0001758667643249473, -1.0129426440685929e-05, -8.837214438292898e-06, -8.069456197239144e-07]",0.5799037102047887
Coverage,Basic,AZ84403,"['Vehicle Class', 'Number of Policies', 'Location Code', 'Income', 'Sales Channel', 'Education', 'Months Since Last Claim', 'Number of Open Complaints', 'State', 'Policy Type']","[0.045739375890521974, 0.0005704783774958003, 0.0002499093749110494, 0.0002071929874837464, 5.7722570532796165e-05, 7.963054585713716e-06, 3.326056035260079e-06, 9.121050313727571e-07, 8.71321338413722e-08, 4.7438160916110286e-08]","['Monthly Premium Auto', 'Total Claim Amount', 'Customer Lifetime Value', 'EmploymentStatus', 'Marital Status', 'Months Since Policy Inception', 'Vehicle Size', 'Gender']","[-0.6238220963228372, -0.0014188960584372674, -0.0011398194835698233, -2.1932863811607973e-05, -1.3873955127120196e-05, -1.3525775465161047e-05, -1.1617233922422754e-05, -5.214876580835808e-06]",0.5799037102047887
Coverage,Basic,JT47995,"['Vehicle Class', 'Income', 'Number of Policies', 'Location Code', 'Months Since Last Claim', 'Sales Channel', 'Education', 'Number of Open Complaints', 'Vehicle Size', 'State']","[0.04565512944252186, 0.0002457612823399421, 0.00021091069743240105, 0.00016792238637273996, 4.291188799805541e-05, 4.097600243506816e-05, 9.84264851372731e-06, 3.957931996246101e-06, 2.1357748974084662e-06, 3.104795403149525e-08]","['Monthly Premium Auto', 'Total Claim Amount', 'Customer Lifetime Value', 'EmploymentStatus', 'Marital Status', 'Gender', 'Months Since Policy Inception', 'Policy Type']","[-0.624508575482766, -0.0007210367044181042, -0.000676936802027387, -2.6232581107914015e-05, -1.4210088282703641e-05, -7.520031570413875e-06, -6.800815091423172e-06, -7.542298296172538e-07]",0.5799037102047887
Coverage,Basic,HB29169,"['Vehicle Class', 'Number of Policies', 'Income', 'Location Code', 'Months Since Last Claim', 'Sales Channel', 'State']","[0.04728229622446957, 0.0008343490994810742, 0.0003983451323275858, 0.00025397984682302695, 0.00013733049149256793, 7.956342576017183e-05, 2.544338355305603e-06]","['Monthly Premium Auto', 'Customer Lifetime Value', 'Total Claim Amount', 'Marital Status', 'Months Since Policy Inception', 'Vehicle Size', 'Education', 'EmploymentStatus', 'Gender', 'Number of Open Complaints', 'Policy Type']","[-0.6221869047539482, -0.0029036822385813993, -0.0022429487474451785, -0.00021426172425559372, -0.0001904404173396746, -3.603440657878135e-05, -2.1548902106698052e-05, -1.55792020361686e-05, -6.185708694612007e-06, -6.089823334872558e-06, -1.848042157052751e-06]",0.5799037102047887
Coverage,Basic,SS13550,"['Vehicle Class', 'Income', 'Location Code', 'Sales Channel', 'Marital Status', 'Months Since Last Claim', 'Education', 'Months Since Policy Inception', 'Vehicle Size', 'Gender', 'Number of Open Complaints']","[0.5621082635394495, 0.00230727513658545, 0.0022459424670826147, 0.0005226606807299323, 0.00051964620239594, 0.0004722396747727121, 0.00025063803373608605, 0.00024237550972679273, 0.0001086114592189757, 7.988267488387203e-05, 7.630569804926412e-07]","['Monthly Premium Auto', 'Number of Policies', 'Total Claim Amount', 'Customer Lifetime Value', 'EmploymentStatus', 'State', 'Policy Type']","[-0.12290180060398385, -0.011878488600212005, -0.01085917410704662, -0.007554800155653303, -0.00017166032985031573, -1.083792530110362e-05, -1.877924245220532e-06]",0.5799037102047887
Coverage,Basic,VN73653,"['Vehicle Class', 'Location Code', 'Income', 'Months Since Policy Inception', 'Marital Status', 'Months Since Last Claim', 'Education', 'State', 'Gender', 'Policy Type', 'Number of Open Complaints']","[0.609687980625717, 0.0015146200065020241, 0.0010038093626126246, 0.0004395741572238079, 0.00029500128756487315, 0.00020805393665279553, 8.159810689609137e-05, 2.069474780438431e-05, 7.094695728920968e-06, 2.6111161270282964e-06, 5.160102626670474e-07]","['Monthly Premium Auto', 'Total Claim Amount', 'Number of Policies', 'Customer Lifetime Value', 'Sales Channel', 'EmploymentStatus', 'Vehicle Size']","[-0.1658705151132511, -0.011985961010842263, -0.010665569988093856, -0.009927287480667792, -0.0004375105560087261, -0.00017993165729597753, -0.00015660912667620971]",0.5799037102047887
