Customer,State,Customer Lifetime Value,Coverage,Education,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Churn
BU79786,Washington,2763.519279,Basic,Bachelor,Employed,F,56274,Suburban,Married,69,32,5,0,1,Corporate Auto,Agent,384.811147,Two-Door Car,Medsize,False
QZ44356,Arizona,6979.535903,Extended,Bachelor,Unemployed,F,0,Suburban,Single,94,13,42,0,8,Personal Auto,Agent,1131.464935,Four-Door Car,Medsize,False
AI49188,Nevada,12887.43165,Premium,Bachelor,Employed,F,48767,Suburban,Married,108,18,38,0,2,Personal Auto,Agent,566.472247,Two-Door Car,Medsize,False
WW63253,California,7645.861827,Basic,Bachelor,Unemployed,M,0,Suburban,Married,106,18,65,0,7,Corporate Auto,Call Center,529.881344,SUV,Medsize,False
HB64268,Washington,2813.692575,Basic,Bachelor,Employed,M,43836,Rural,Single,73,12,44,0,1,Personal Auto,Agent,138.130879,Four-Door Car,Medsize,False
OC83172,Oregon,8256.2978,Basic,Bachelor,Employed,F,62902,Rural,Married,69,14,94,0,2,Personal Auto,Web,159.383042,Two-Door Car,Medsize,False
XZ87318,Oregon,5380.898636,Basic,College,Employed,F,55350,Suburban,Married,67,0,13,0,9,Corporate Auto,Agent,321.6,Four-Door Car,Medsize,False
CF85061,Arizona,7216.100311,Premium,Master,Unemployed,M,0,Urban,Single,101,0,68,0,4,Corporate Auto,Agent,363.02968,Four-Door Car,Medsize,True
DY87989,Oregon,24127.50402,Basic,Bachelor,Medical Leave,M,14072,Suburban,Divorced,71,13,3,0,2,Corporate Auto,Agent,511.2,Four-Door Car,Medsize,False
BQ94931,Oregon,7388.178085,Extended,College,Employed,F,28812,Urban,Married,93,17,7,0,8,Special Auto,Branch,425.527834,Four-Door Car,Medsize,False
SX51350,California,4738.992022,Basic,College,Unemployed,M,0,Suburban,Single,67,23,5,0,3,Personal Auto,Agent,482.4,Four-Door Car,Small,False
VQ65197,California,8197.197078,Basic,College,Unemployed,F,0,Suburban,Married,110,27,87,0,3,Personal Auto,Agent,528,SUV,Medsize,False
DP39365,California,8798.797003,Premium,Master,Employed,M,77026,Urban,Married,110,9,82,2,3,Corporate Auto,Agent,472.029737,Four-Door Car,Medsize,False
SJ95423,Arizona,8819.018934,Basic,High School or Below,Employed,M,99845,Suburban,Married,110,23,25,1,8,Corporate Auto,Branch,528,SUV,Medsize,False
IL66569,California,5384.431665,Basic,College,Employed,M,83689,Urban,Single,70,21,10,2,8,Corporate Auto,Call Center,307.139132,Four-Door Car,Medsize,False
BW63560,Oregon,7463.139377,Basic,Bachelor,Employed,F,24599,Rural,Married,64,12,50,1,2,Corporate Auto,Branch,42.920271,Four-Door Car,Medsize,False
FV94802,Nevada,2566.867823,Basic,High School or Below,Medical Leave,M,25049,Suburban,Married,67,14,7,0,1,Personal Auto,Call Center,454.245098,Two-Door Car,Medsize,False
OE15005,California,3945.241604,Basic,College,Medical Leave,M,28855,Suburban,Married,101,12,59,0,1,Personal Auto,Call Center,647.442031,SUV,Medsize,False
WC83389,Oregon,5710.333115,Basic,College,Employed,M,51148,Urban,Married,72,9,1,0,7,Personal Auto,Branch,308.981664,Four-Door Car,Medsize,False
FL50705,California,8162.617053,Premium,High School or Below,Employed,F,66140,Suburban,Married,101,11,21,0,3,Corporate Auto,Call Center,484.8,Four-Door Car,Small,False
ZK25313,Oregon,2872.051273,Basic,High School or Below,Employed,M,57749,Suburban,Single,74,31,21,0,1,Personal Auto,Branch,355.2,Two-Door Car,Medsize,False
SV62436,Washington,3041.791561,Extended,Bachelor,Disabled,F,13789,Suburban,Divorced,79,8,49,0,1,Personal Auto,Call Center,379.2,Four-Door Car,Medsize,False
YH23384,Arizona,24127.50402,Basic,Bachelor,Medical Leave,M,14072,Suburban,Divorced,71,13,3,0,2,Personal Auto,Agent,511.2,Four-Door Car,Medsize,False
