Customer,column_target,true_value,prediction,class,probability
BU79786,Coverage,Basic,Basic,Basic,0.999944319884238
BU79786,Coverage,Basic,Basic,Extended,4.457626006289497e-05
BU79786,Coverage,Basic,Basic,Premium,1.1103855698933244e-05
BU79786,Churn,False,False,False,0.906048122931052
BU79786,Churn,False,False,True,0.0939518770689479
QZ44356,Coverage,Extended,Extended,Basic,8.975313138718592e-06
QZ44356,Coverage,Extended,Extended,Extended,0.9999520165501324
QZ44356,Coverage,Extended,Extended,Premium,3.900813672870765e-05
QZ44356,Churn,False,True,False,0.1653846408366692
QZ44356,Churn,False,True,True,0.8346153591633307
AI49188,Coverage,Premium,Premium,Basic,0.0004042867149455
AI49188,Coverage,Premium,Premium,Extended,4.8408625478309176e-05
AI49188,Coverage,Premium,Premium,Premium,0.999547304659576
AI49188,Churn,False,False,False,0.6694242718839494
AI49188,Churn,False,False,True,0.3305757281160506
WW63253,Coverage,Basic,Basic,Basic,0.9997273618543092
WW63253,Coverage,Basic,Basic,Extended,3.819379985306848e-05
WW63253,Coverage,Basic,Basic,Premium,0.0002344443458377
WW63253,Churn,False,True,False,0.3133816694990311
WW63253,Churn,False,True,True,0.6866183305009689
HB64268,Coverage,Basic,Basic,Basic,0.9999696839219951
HB64268,Coverage,Basic,Basic,Extended,2.4822467874287365e-05
HB64268,Coverage,Basic,Basic,Premium,5.493610130558703e-06
HB64268,Churn,False,False,False,0.8888680276210092
HB64268,Churn,False,False,True,0.1111319723789907
OC83172,Coverage,Basic,Basic,Basic,0.9998191280820796
OC83172,Coverage,Basic,Basic,Extended,4.827829646213269e-05
OC83172,Coverage,Basic,Basic,Premium,0.0001325936214583
OC83172,Churn,False,False,False,0.8063493948090734
OC83172,Churn,False,False,True,0.1936506051909265
XZ87318,Coverage,Basic,Basic,Basic,0.9999886712098416
XZ87318,Coverage,Basic,Basic,Extended,8.670693977178395e-06
XZ87318,Coverage,Basic,Basic,Premium,2.6580961812914183e-06
XZ87318,Churn,False,False,False,0.908774992488124
XZ87318,Churn,False,False,True,0.0912250075118759
CF85061,Coverage,Premium,Premium,Basic,0.0004687864237837
CF85061,Coverage,Premium,Premium,Extended,0.0001734151343884
CF85061,Coverage,Premium,Premium,Premium,0.9993577984418278
CF85061,Churn,True,True,False,0.1395717695700239
CF85061,Churn,True,True,True,0.8604282304299761
DY87989,Coverage,Basic,Basic,Basic,0.9996135434496574
DY87989,Coverage,Basic,Basic,Extended,9.181045569065228e-05
DY87989,Coverage,Basic,Basic,Premium,0.0002946460946519
DY87989,Churn,False,False,False,0.7849141455216881
DY87989,Churn,False,False,True,0.2150858544783118
BQ94931,Coverage,Extended,Extended,Basic,1.4119552225006948e-05
BQ94931,Coverage,Extended,Extended,Extended,0.9999504173087992
BQ94931,Coverage,Extended,Extended,Premium,3.546313897566547e-05
BQ94931,Churn,False,False,False,0.739205525490411
BQ94931,Churn,False,False,True,0.260794474509589
SX51350,Coverage,Basic,Basic,Basic,0.9999448131802152
SX51350,Coverage,Basic,Basic,Extended,2.891204928480332e-05
SX51350,Coverage,Basic,Basic,Premium,2.6274770499833288e-05
SX51350,Churn,False,False,False,0.6508671051105691
SX51350,Churn,False,False,True,0.3491328948894309
VQ65197,Coverage,Basic,Basic,Basic,0.9997371214609798
VQ65197,Coverage,Basic,Basic,Extended,3.131054823077639e-05
VQ65197,Coverage,Basic,Basic,Premium,0.0002315679907894
VQ65197,Churn,False,True,False,0.3582806860421577
VQ65197,Churn,False,True,True,0.6417193139578423
DP39365,Coverage,Premium,Premium,Basic,0.0001384817273097
DP39365,Coverage,Premium,Premium,Extended,3.6965046180067605e-05
DP39365,Coverage,Premium,Premium,Premium,0.99982455322651
DP39365,Churn,False,False,False,0.8301415043135077
DP39365,Churn,False,False,True,0.1698584956864922
SJ95423,Coverage,Basic,Basic,Basic,0.9997573197335832
SJ95423,Coverage,Basic,Basic,Extended,2.297255701122917e-05
SJ95423,Coverage,Basic,Basic,Premium,0.0002197077094056
SJ95423,Churn,False,False,False,0.8127239116837809
SJ95423,Churn,False,False,True,0.1872760883162191
IL66569,Coverage,Basic,Basic,Basic,0.9999779462992376
IL66569,Coverage,Basic,Basic,Extended,1.4066118171312192e-05
IL66569,Coverage,Basic,Basic,Premium,7.987582591142803e-06
IL66569,Churn,False,False,False,0.944744797803034
IL66569,Churn,False,False,True,0.055255202196966
BW63560,Coverage,Basic,Basic,Basic,0.999934026688303
BW63560,Coverage,Basic,Basic,Extended,4.276976639172485e-05
BW63560,Coverage,Basic,Basic,Premium,2.3203545305244764e-05
BW63560,Churn,False,False,False,0.89252698793636
BW63560,Churn,False,False,True,0.1074730120636399
FV94802,Coverage,Basic,Basic,Basic,0.9999752522072576
FV94802,Coverage,Basic,Basic,Extended,1.47628851231886e-05
FV94802,Coverage,Basic,Basic,Premium,9.984907619321023e-06
FV94802,Churn,False,False,False,0.8871931078185885
FV94802,Churn,False,False,True,0.1128068921814114
OE15005,Coverage,Basic,Basic,Basic,0.9996498595021792
