user_id,register_date,unregister_date,last_login_date,subscription_date,unsubscription_date,account_type
JFT0W0F1,2023-05-17,,2023-11-04 08:55:34.617071,2023-07-04,,PREMIUM
6WVJFJM4,2023-04-22,,2023-10-10 08:55:34.617071,2023-11-03,2023-11-20,FREE
5EX82G7M,2023-01-03,,2023-10-22 08:55:34.617071,,,FREE
MVMHQJEN,2023-11-03,,2023-09-29 08:55:34.617071,2023-11-13,,PREMIUM
R4MC2FSW,2023-01-28,,2023-10-16 08:55:34.617071,,,PREMIUM
I7KAJLDB,2023-11-16,,2023-11-06 08:55:34.617071,2023-11-21,,FREE
07HL6XNN,2023-05-18,,2023-10-19 00:00:00.000000,2023-09-26,,PREMIUM
FEDUL92P,2023-05-17,,2023-10-18 00:00:00.000000,2023-11-16,,FREE
PJKUZQVR,2023-11-03,,2023-10-02 08:55:34.617071,,,FREE
PSL6NURQ,2023-09-07,2023-10-13,2023-10-13 00:00:00.000000,,,FREE
1TDILGTS,2023-10-03,,2023-10-04 08:55:34.617071,2023-11-15,2023-11-16,FREE
LWGXS6MW,2023-09-23,,2023-10-30 08:55:34.617071,2023-11-17,,PREMIUM
C4SBSHYV,2023-11-07,,2023-11-22 00:00:00.000000,,,FREE
LSY842B6,2023-02-01,,2023-04-17 00:00:00.000000,2023-08-09,2023-11-12,FREE
PHTMN4EC,2023-03-03,,2023-08-05 00:00:00.000000,2023-07-11,,FREE
IL4R4C6K,2023-06-09,,2023-07-16 00:00:00.000000,2023-07-05,,PREMIUM
CV9B07DQ,2023-11-19,,2023-11-23 00:00:00.000000,,,PREMIUM
91FA7FFC,2023-05-23,,2023-10-04 08:55:34.617071,2023-10-25,,PREMIUM
A8FU3J28,2023-06-22,,2023-11-20 08:55:34.617071,,,PREMIUM
LH6EN8B1,2023-10-16,,2023-11-05 08:55:34.617071,,,PREMIUM
V9Y7TEUB,2023-08-26,,2023-10-27 08:55:34.617071,,,FREE
GAZ8MSPR,2023-04-07,,2023-10-11 08:55:34.617071,2023-05-17,,FREE
A67PZE3W,2023-02-13,,2023-08-26 00:00:00.000000,2023-05-29,,PREMIUM
2D1L7MMT,2023-11-09,,2023-11-11 08:55:34.617071,,,PREMIUM
DLY8K92A,2023-04-13,,2023-11-27 08:55:34.617071,,,ENTERPRISE
V7H8ZSAH,2023-05-10,2023-10-23,2023-06-12 00:00:00.000000,2023-10-09,,PREMIUM
IE4G6PAH,2023-03-07,,2023-05-11 00:00:00.000000,2023-07-12,2023-08-06,FREE
14D16AF4,2023-03-11,2023-11-10,2023-10-29 00:00:00.000000,2023-09-30,,PREMIUM
OX9SRSTL,2023-07-23,2023-10-29,2023-08-04 00:00:00.000000,2023-08-19,,ENTERPRISE
FQSE24XA,2023-03-28,,2023-05-31 00:00:00.000000,,,FREE
6V4NEPGN,2023-09-17,,2023-09-23 00:00:00.000000,,,FREE
FGJHF471,2023-11-03,,2023-11-26 08:55:34.617071,2023-11-09,2023-11-14,ENTERPRISE
9X52M3L7,2023-10-21,,2023-11-02 08:55:34.617071,2023-11-08,,FREE
DNE0SZ8T,2023-02-08,,2023-11-20 08:55:34.617071,2023-04-05,,FREE
NOF7A7E8,2023-08-05,,2023-11-22 00:00:00.000000,2023-09-29,,PREMIUM
WHYLTHI0,2023-10-16,,2023-11-27 08:55:34.617071,2023-11-25,,PREMIUM
0WHA6UPR,2023-09-26,,2023-11-28 00:00:00.000000,2023-10-26,,PREMIUM
EK76YJ0F,2023-07-25,,2023-09-02 00:00:00.000000,2023-11-08,2023-11-28,FREE
HQ4FPIE8,2023-08-06,,2023-11-26 00:00:00.000000,,,FREE
H16Q89V3,2023-08-13,,2023-10-21 08:55:34.617071,,,FREE
EEXOTP1Q,2023-11-11,,2023-10-31 08:55:34.617071,2023-11-16,,FREE
BTO7XBRU,2023-05-25,,2023-10-08 08:55:34.617071,,,FREE
GSBITG97,2023-07-29,,2023-09-24 00:00:00.000000,,,FREE
QRTLP7GO,2023-03-19,,2023-11-19 08:55:34.617071,,,FREE
6DTS81NQ,2023-06-20,,2023-11-04 08:55:34.617071,2023-09-09,,FREE
7DDZNJSI,2023-11-22,,2023-11-23 00:00:00.000000,,,PREMIUM
H0VC4O0G,2023-01-22,,2023-02-20 00:00:00.000000,,,FREE
9CHJKG4F,2023-05-24,,2023-11-07 08:55:34.617071,2023-06-13,,ENTERPRISE
Q19JOLER,2023-06-25,,2023-11-05 08:55:34.617071,2023-08-12,2023-08-29,FREE
QI0MVUOP,2023-10-10,,2023-11-28 00:00:00.000000,2023-11-10,2023-11-22,ENTERPRISE
ZS4KNNDX,2023-06-26,,2023-07-29 00:00:00.000000,,,FREE
9O0HPRM7,2023-02-11,,2023-07-14 00:00:00.000000,,,PREMIUM
UW3RTIZY,2023-05-27,,2023-09-14 00:00:00.000000,2023-10-14,,FREE
LUMFMXM5,2023-01-23,,2023-11-24 08:55:34.617071,,,PREMIUM
IG61EXR8,2023-06-16,,2023-08-19 00:00:00.000000,2023-08-12,,PREMIUM
0CORBEWK,2023-04-14,,2023-11-17 08:55:34.617071,,,FREE
OP941GPI,2023-08-13,,2023-11-05 08:55:34.617071,2023-08-25,,PREMIUM
8W1KL2JW,2023-06-19,,2023-10-31 00:00:00.000000,,,FREE
AP0Q4W0K,2023-02-04,,2023-05-24 00:00:00.000000,,,FREE
ADBLTE43,2023-11-06,,2023-10-09 08:55:34.617071,,,PREMIUM
90QXRRKS,2023-10-29,,2023-11-27 00:00:00.000000,2023-11-03,,FREE
BG52O06Y,2023-08-04,2023-08-18,2023-08-11 00:00:00.000000,,,PREMIUM
WZ50HZ3Q,2023-02-26,,2023-06-16 00:00:00.000000,,,FREE
WEPO5QTW,2023-05-20,,2023-10-26 08:55:34.617071,,,PREMIUM
2ZUQ49B1,2023-04-07,,2023-10-08 08:55:34.617071,,,FREE
H0RQE204,2023-04-19,,2023-11-27 08:55:34.617071,,,PREMIUM
S3R5PNTH,2023-05-01,,2023-09-15 00:00:00.000000,2023-07-06,,FREE
4IAHQK5M,2023-06-24,2023-07-07,2023-06-30 00:00:00.000000,,,FREE
E3ZHB61T,2023-05-06,,2023-10-15 08:55:34.617071,2023-08-07,,FREE
