sale_id,store_id,user_id,sale_date,sales_amount
8643,3,2041,2023-01-01,43.31
3972,4,45,2023-01-01,56.28
7800,4,559,2023-01-01,37.12
5173,1,2033,2023-01-01,72.7
221,1,1906,2023-01-01,27.87
9496,2,1639,2023-01-01,66.16
5558,4,1192,2023-01-01,12.46
6025,6,1074,2023-01-01,63.97
8516,6,1989,2023-01-02,37.96
7334,2,661,2023-01-02,49.05
3149,1,1308,2023-01-02,69.6
5500,4,1506,2023-01-02,63.94
6092,1,1074,2023-01-02,43.81
326,3,394,2023-01-02,71.67
7297,2,2320,2023-01-03,41.29
7025,2,67,2023-01-03,51.63
4711,1,2230,2023-01-03,19.5
5942,1,244,2023-01-03,26.0
3464,3,1316,2023-01-03,66.86
863,1,324,2023-01-03,43.53
8654,1,989,2023-01-03,37.4
8016,3,1305,2023-01-03,36.72
9227,2,1302,2023-01-04,42.87
3019,3,1576,2023-01-04,78.09
9130,6,1975,2023-01-04,48.28
9339,2,837,2023-01-04,74.86
7477,4,775,2023-01-04,68.7
7454,3,379,2023-01-04,48.03
6536,2,3,2023-01-04,48.82
9116,6,890,2023-01-04,20.87
5825,1,1735,2023-01-04,77.22
917,1,2453,2023-01-04,77.39
5336,1,1319,2023-01-04,54.94
218,2,1917,2023-01-05,10.4
4355,3,2348,2023-01-05,71.56
9151,5,2164,2023-01-05,73.78
5018,5,1310,2023-01-05,18.49
2734,1,2379,2023-01-05,13.42
8403,2,1030,2023-01-05,42.8
8218,2,2499,2023-01-05,60.22
3711,2,460,2023-01-06,26.35
9118,5,449,2023-01-06,15.38
6351,6,2122,2023-01-06,21.94
3448,6,2403,2023-01-06,54.1
7451,1,671,2023-01-06,35.14
6895,4,1551,2023-01-06,16.6
4663,6,369,2023-01-06,38.44
3736,3,1352,2023-01-06,36.21
9482,3,1156,2023-01-06,61.4
3193,1,2144,2023-01-06,47.0
2514,1,1653,2023-01-06,28.08
2040,5,1537,2023-01-06,34.05
5570,6,973,2023-01-06,31.62
1533,1,323,2023-01-06,24.93
7387,3,1718,2023-01-06,47.19
4078,6,789,2023-01-06,31.79
4472,6,1992,2023-01-06,37.67
4922,2,1950,2023-01-07,48.85
6164,3,604,2023-01-07,50.55
1179,6,471,2023-01-07,38.28
3631,2,727,2023-01-07,36.26
762,1,2021,2023-01-07,21.84
3324,1,1028,2023-01-07,68.02
9136,5,2459,2023-01-07,16.85
1412,3,1776,2023-01-07,22.76
6328,6,157,2023-01-07,48.25
4242,6,1835,2023-01-07,18.56
8565,3,714,2023-01-07,20.1
4195,1,431,2023-01-07,18.01
7828,2,1205,2023-01-07,12.29
1816,3,122,2023-01-07,54.25
7960,6,903,2023-01-07,38.74
6730,5,201,2023-01-07,69.19
5617,1,2143,2023-01-08,16.39
7176,3,1209,2023-01-08,57.91
3826,2,454,2023-01-08,65.66
196,6,1410,2023-01-08,45.32
2754,1,1944,2023-01-08,10.55
2737,5,1106,2023-01-08,27.34
8780,1,1917,2023-01-08,78.4
5920,6,698,2023-01-08,78.18
600,2,1007,2023-01-09,74.0
5868,6,1466,2023-01-09,61.56
5007,2,1448,2023-01-09,23.24
2404,2,1034,2023-01-09,64.25
279,4,2105,2023-01-09,35.84
64,3,1659,2023-01-09,76.94
9239,6,289,2023-01-09,79.87
385,4,2046,2023-01-09,56.17
1879,3,1954,2023-01-09,65.26
5580,1,425,2023-01-09,12.86
4652,5,958,2023-01-09,56.52
8298,3,2082,2023-01-10,33.59
3832,3,170,2023-01-10,51.21
5993,1,1765,2023-01-10,51.68
4231,3,2352,2023-01-10,71.96
4676,5,2010,2023-01-10,13.7
1590,6,1241,2023-01-10,78.34
5927,3,111,2023-01-10,24.66
7875,2,1982,2023-01-10,41.42
2231,6,2392,2023-01-10,15.73
962,2,1539,2023-01-10,65.27
5097,5,1581,2023-01-10,20.91
8408,2,643,2023-01-11,45.35
7767,5,1666,2023-01-11,57.3
6259,4,2333,2023-01-11,73.81
9715,5,1929,2023-01-11,12.13
1867,3,212,2023-01-11,73.22
1608,6,1274,2023-01-11,39.21
2134,2,1528,2023-01-11,56.1
2995,1,328,2023-01-11,76.53
1372,5,335,2023-01-11,19.33
5265,4,1587,2023-01-11,18.77
8078,5,1305,2023-01-11,54.09
3755,2,880,2023-01-12,24.07
2487,5,1891,2023-01-12,59.03
1361,5,2361,2023-01-12,69.24
4821,1,118,2023-01-12,57.15
6977,2,1004,2023-01-12,20.18
3664,2,2439,2023-01-12,63.75
7612,4,1839,2023-01-12,54.44
4868,3,657,2023-01-12,79.01
3075,4,2422,2023-01-12,36.39
8217,2,1125,2023-01-12,73.78
8907,2,2260,2023-01-12,16.06
8795,3,1552,2023-01-12,55.51
4152,5,748,2023-01-12,23.35
3560,5,2051,2023-01-13,68.21
5232,5,1419,2023-01-13,37.91
8457,4,162,2023-01-13,20.89
1156,4,1546,2023-01-13,73.35
2416,1,2360,2023-01-13,23.89
2801,5,2328,2023-01-13,54.68
9280,4,1646,2023-01-13,53.97
3792,3,32,2023-01-13,55.89
6168,3,2297,2023-01-13,13.3
3352,6,865,2023-01-13,65.1
6120,3,1268,2023-01-13,11.96
2177,2,325,2023-01-13,25.98
3807,2,225,2023-01-13,16.58
9556,5,1110,2023-01-13,39.41
8060,1,1721,2023-01-13,35.18
5039,3,2158,2023-01-13,74.37
9688,3,588,2023-01-13,19.14
1470,4,722,2023-01-13,35.98
2702,1,566,2023-01-14,64.3
2696,5,125,2023-01-14,61.79
9053,4,25,2023-01-14,22.78
8138,6,233,2023-01-14,68.91
7907,5,1290,2023-01-14,39.82
2180,4,930,2023-01-14,26.11
4659,4,833,2023-01-14,60.16
3130,5,1393,2023-01-14,28.95
5964,5,278,2023-01-14,12.26
1243,5,112,2023-01-14,18.81
1248,4,1938,2023-01-14,51.25
5212,3,2358,2023-01-14,69.48
3306,3,394,2023-01-14,66.46
2340,6,1248,2023-01-14,17.9
785,3,395,2023-01-15,54.81
8024,4,711,2023-01-15,50.21
4863,1,2109,2023-01-15,30.76
6321,1,315,2023-01-16,46.03
3426,5,1830,2023-01-16,77.94
1785,4,497,2023-01-16,24.72
5131,4,906,2023-01-16,47.74
7968,3,946,2023-01-16,53.72
6554,5,1357,2023-01-16,21.18
1416,5,857,2023-01-16,35.96
3724,6,279,2023-01-16,50.04
4849,5,1214,2023-01-16,57.81
3776,2,349,2023-01-16,11.78
1753,1,220,2023-01-17,69.16
4596,3,2426,2023-01-17,56.23
4068,3,68,2023-01-17,11.48
6898,5,7,2023-01-17,72.28
6177,5,2391,2023-01-17,77.41
312,1,1349,2023-01-17,55.27
892,2,1676,2023-01-17,44.71
7519,5,2002,2023-01-17,29.95
6345,3,468,2023-01-17,58.79
1252,1,498,2023-01-17,50.36
9170,2,1092,2023-01-17,45.03
8957,5,1367,2023-01-17,69.61
1309,1,411,2023-01-18,24.09
1647,1,2260,2023-01-18,16.45
