sale_id,store_id,product_id,sale_date,sales_amount
3459,4,37,2023-01-02,126.8
979,6,48,2023-01-02,100.15
5299,5,8,2023-01-02,164.41
9409,3,48,2023-01-02,246.43
9746,2,12,2023-01-02,274.55
2220,4,29,2023-01-02,173.16
3040,4,18,2023-01-02,292.62
8353,2,9,2023-01-02,270.79
898,4,29,2023-01-02,220.5
1473,6,17,2023-01-02,123.63
4981,2,12,2023-01-02,115.3
7423,4,14,2023-01-02,102.41
9670,1,49,2023-01-02,100.26
7965,4,20,2023-01-02,130.51
1818,6,32,2023-01-02,142.98
7271,3,40,2023-01-03,216.18
3393,6,18,2023-01-03,298.98
4602,1,18,2023-01-03,236.03
7597,1,2,2023-01-03,121.81
4988,2,30,2023-01-03,235.61
5284,2,41,2023-01-03,276.97
3585,5,43,2023-01-03,101.82
4550,1,16,2023-01-03,111.94
8238,4,8,2023-01-03,285.27
1841,3,8,2023-01-03,259.93
804,5,37,2023-01-03,162.62
3022,4,2,2023-01-03,154.15
5135,2,23,2023-01-03,250.02
9156,5,48,2023-01-04,249.65
2611,2,40,2023-01-04,233.72
2719,5,13,2023-01-04,155.45
3356,3,9,2023-01-04,198.22
9074,6,44,2023-01-04,240.05
7034,1,5,2023-01-04,163.42
9327,5,16,2023-01-04,224.6
7384,3,45,2023-01-04,205.32
9299,1,47,2023-01-04,159.76
8029,1,49,2023-01-04,280.85
8035,6,20,2023-01-04,218.92
27,1,16,2023-01-04,134.98
8885,3,45,2023-01-04,125.55
1955,5,14,2023-01-05,295.05
765,2,30,2023-01-05,259.34
6985,6,32,2023-01-05,127.3
9102,2,12,2023-01-05,243.08
7132,6,28,2023-01-05,172.11
7177,4,37,2023-01-05,248.2
7813,1,9,2023-01-05,111.49
4168,2,3,2023-01-05,117.9
9793,6,28,2023-01-05,216.82
1148,2,38,2023-01-05,143.07
6150,2,44,2023-01-05,117.64
4091,5,7,2023-01-06,260.49
1475,4,29,2023-01-06,123.63
2440,1,43,2023-01-06,192.93
6298,3,23,2023-01-06,160.97
8411,5,36,2023-01-06,219.48
5150,1,14,2023-01-06,141.19
3345,1,29,2023-01-06,202.23
7543,3,45,2023-01-06,292.26
2358,2,12,2023-01-06,153.14
2262,6,8,2023-01-06,222.78
8631,3,29,2023-01-06,160.71
8685,6,46,2023-01-06,269.67
5521,1,40,2023-01-06,117.7
378,2,4,2023-01-06,291.31
2750,1,36,2023-01-06,230.59
7477,5,19,2023-01-06,222.23
4061,2,21,2023-01-06,184.79
6990,4,11,2023-01-06,297.92
2649,2,7,2023-01-07,274.39
4375,1,46,2023-01-07,105.06
7382,4,30,2023-01-07,220.22
1622,5,11,2023-01-07,293.39
924,6,41,2023-01-07,125.63
9620,5,47,2023-01-07,145.4
2518,4,41,2023-01-07,241.54
5037,5,30,2023-01-07,169.35
3079,3,44,2023-01-07,129.97
9760,3,39,2023-01-07,167.99
6327,3,37,2023-01-07,108.54
9085,6,32,2023-01-07,253.51
6023,3,29,2023-01-07,294.33
2083,3,23,2023-01-07,150.84
6722,1,21,2023-01-08,170.58
4179,3,46,2023-01-08,282.68
1495,1,16,2023-01-08,289.24
1845,2,14,2023-01-08,299.84
9009,5,32,2023-01-08,284.0
725,1,13,2023-01-08,142.95
7504,6,20,2023-01-08,280.71
6942,2,27,2023-01-08,174.92
7294,5,15,2023-01-08,158.44
1534,4,43,2023-01-08,224.79
5378,4,40,2023-01-08,257.86
6845,6,15,2023-01-08,271.26
3820,6,31,2023-01-08,299.71
8335,4,4,2023-01-08,145.25
3761,6,9,2023-01-08,111.61
8857,5,14,2023-01-09,170.45
7390,4,7,2023-01-09,150.74
3544,3,43,2023-01-09,179.81
7250,1,47,2023-01-09,107.62
8944,2,36,2023-01-09,192.83
1156,1,14,2023-01-09,217.24
438,1,2,2023-01-09,297.22
1282,6,16,2023-01-09,130.41
3154,1,1,2023-01-10,256.86
9666,1,7,2023-01-10,144.29
7932,6,41,2023-01-10,197.4
7453,5,19,2023-01-10,259.92
4452,3,43,2023-01-10,193.86
2532,4,9,2023-01-10,213.01
5452,3,47,2023-01-10,157.08
9290,1,5,2023-01-10,130.42
70,1,26,2023-01-10,217.63
8021,5,17,2023-01-10,116.28
7389,4,7,2023-01-10,281.63
5800,1,15,2023-01-10,210.64
5399,5,40,2023-01-10,215.14
9187,1,37,2023-01-10,297.29
4033,2,3,2023-01-10,175.72
4359,4,22,2023-01-10,188.81
190,5,32,2023-01-11,160.88
8550,6,16,2023-01-11,208.05
7414,5,44,2023-01-11,101.25
8485,3,35,2023-01-11,284.48
219,5,37,2023-01-11,187.45
8502,6,34,2023-01-11,288.52
1200,2,10,2023-01-11,163.74
4388,4,16,2023-01-11,271.37
2366,3,32,2023-01-11,267.8
4055,2,35,2023-01-11,222.6
1710,3,26,2023-01-11,266.39
4922,5,7,2023-01-12,151.77
6859,6,12,2023-01-12,159.95
9592,4,48,2023-01-12,111.6
5882,3,36,2023-01-12,275.78
9528,1,45,2023-01-12,158.36
6165,3,19,2023-01-12,234.86
1425,2,7,2023-01-12,290.3
1243,2,27,2023-01-12,232.91
9282,1,3,2023-01-12,119.91
9717,1,13,2023-01-12,274.92
1347,3,25,2023-01-12,125.31
8691,3,31,2023-01-13,286.22
7895,4,41,2023-01-13,223.06
2110,3,31,2023-01-13,184.8
4019,1,17,2023-01-13,187.51
4216,3,5,2023-01-13,230.4
529,4,48,2023-01-13,188.94
5115,6,3,2023-01-13,212.29
8872,5,32,2023-01-13,186.22
165,4,41,2023-01-13,172.17
778,5,10,2023-01-13,296.04
7309,5,37,2023-01-13,263.74
4635,4,9,2023-01-13,129.53
3303,4,25,2023-01-13,153.63
82,6,49,2023-01-13,288.08
4973,6,40,2023-01-14,237.76
74,4,36,2023-01-14,248.52
2564,5,23,2023-01-14,190.95
7375,1,32,2023-01-14,247.23
123,5,35,2023-01-14,128.6
6947,6,16,2023-01-14,260.52
874,2,29,2023-01-14,205.65
5476,2,6,2023-01-14,104.02
269,5,36,2023-01-14,119.33
1194,5,45,2023-01-15,108.7
8763,6,37,2023-01-15,273.9
885,4,31,2023-01-15,123.83
3025,2,25,2023-01-15,109.92
2253,5,44,2023-01-15,147.8
9224,5,23,2023-01-15,188.55
1732,6,6,2023-01-15,248.36
3448,1,33,2023-01-15,170.85
7307,3,4,2023-01-15,144.78
1272,3,44,2023-01-15,186.67
1175,3,45,2023-01-15,161.3
832,5,21,2023-01-15,220.6
1522,5,21,2023-01-15,239.19
5696,4,8,2023-01-15,133.32
5086,5,8,2023-01-15,177.14
9065,4,37,2023-01-15,193.43
2520,1,28,2023-01-15,268.69
371,5,48,2023-01-16,263.87
8064,5,24,2023-01-16,146.33
201,1,10,2023-01-16,256.01
8261,2,45,2023-01-16,107.97
4,3,46,2023-01-16,204.6
1436,6,7,2023-01-16,239.08
5522,1,7,2023-01-16,198.78
1497,2,48,2023-01-16,234.7
3567,6,31,2023-01-16,210.72
1157,4,18,2023-01-17,285.3
343,1,36,2023-01-17,285.07
5275,3,9,2023-01-17,272.33
2581,2,28,2023-01-17,267.89
6310,1,22,2023-01-17,279.3
8368,3,19,2023-01-17,231.46
159,3,45,2023-01-17,125.0
3647,3,45,2023-01-17,106.05
9991,3,38,2023-01-17,214.09
4170,4,26,2023-01-17,223.37
9083,4,36,2023-01-17,178.68
8114,6,27,2023-01-17,173.79
7056,5,46,2023-01-17,293.52
5159,1,36,2023-01-17,231.07
6063,6,45,2023-01-17,131.93
637,3,44,2023-01-17,242.88
5893,3,18,2023-01-17,234.23
3887,5,3,2023-01-17,271.71
5524,2,34,2023-01-17,137.92
2906,1,14,2023-01-17,114.3
1892,6,33,2023-01-18,223.45
3551,1,50,2023-01-18,280.87
4740,2,23,2023-01-18,178.8
6078,3,26,2023-01-18,169.66
3783,5,43,2023-01-18,294.93
6702,6,39,2023-01-18,173.36
1003,3,12,2023-01-18,273.41
3329,6,8,2023-01-18,264.41
7811,2,24,2023-01-18,101.24
6559,6,36,2023-01-18,232.68
9354,5,20,2023-01-18,277.28
2143,5,46,2023-01-18,111.96
807,4,33,2023-01-18,193.07
9145,3,43,2023-01-18,116.3
2325,6,36,2023-01-18,138.95
9965,5,2,2023-01-18,176.24
4417,1,4,2023-01-19,131.33
6628,3,7,2023-01-19,199.08
5302,3,2,2023-01-19,138.48
1917,5,43,2023-01-19,113.14
3903,2,25,2023-01-19,260.91
9563,4,13,2023-01-19,195.17
2714,1,30,2023-01-19,234.22
1213,5,33,2023-01-19,187.28
9795,2,28,2023-01-19,298.54
2073,6,41,2023-01-19,262.3
1903,1,24,2023-01-19,178.61
2012,2,25,2023-01-19,222.23
8573,2,24,2023-01-19,265.42
5885,2,46,2023-01-19,277.26
7175,5,22,2023-01-19,286.37
9377,4,14,2023-01-19,152.42
4980,3,49,2023-01-19,289.47
3037,3,10,2023-01-19,213.77
3277,3,7,2023-01-19,119.07
7640,3,12,2023-01-20,196.22
8250,4,13,2023-01-20,282.49
8125,2,31,2023-01-20,204.07
4095,4,49,2023-01-20,219.82
3616,2,35,2023-01-20,143.2
5731,5,16,2023-01-20,185.28
5563,3,33,2023-01-20,177.9
6661,2,50,2023-01-20,291.16
6627,1,15,2023-01-20,150.75
2099,5,38,2023-01-20,115.05
1207,4,24,2023-01-20,182.65
